"MuiTypography-root href","MuiBox-root src","MuiTypography-root","MuiTypography-root 2","MuiStack-root","MuiStack-root 2","MuiStack-root 3","MuiBox-root"
"https://emploitic.com/entreprises/intaj-mohtawayat/offres-d-emploi/informatique-telecom-internet/commerciale-b857e3d4c375a71b1668870a","https://recruiter.emploitic.com/api/v2/photo/logo/arn:local:oss:emploitic:551e5f4c-63ff-41b3-8aaf-b8017dfe461b:logo:69a4e75ff761112229a94d08","Commercial(e)","Intaj Mohtawayat","Alger, Algérie","02 April","Confirmé / Expérimenté (3 À 5 Ans)","<h3>À propos de l'entreprise :</h3><p><strong>INTAJ</strong> est une entreprise spécialisée dans la création et le développement de solutions numériques avancées, centrée sur l’intelligence artificielle (IA) et l’innovation technologique. Elle conçoit des applications, plateformes digitales et outil"
"https://emploitic.com/entreprises/aramcco-in-germany/offres-d-emploi/services/charge-marketing-et-management-84a176c910b74862d29be63a","https://recruiter.emploitic.com/api/v2/photo/logo/arn:local:oss:emploitic:464e3d81-d86b-4850-a672-196c4b04bbb4:logo:68c6d68ee26f70a8d87843e1","Chargé Marketing et Management","ALGERIAN GERMAN FOR SERVICES AND RELATION","Kouba, Daïra Hussein Dey, Alger, Algérie","02 April","Débutant / Junior (1 À 2 Ans)","<p>ALGERIAN GERMAN FOR SERVICE AND RELATION est une entreprise internationale dynamique dont le siège principal est situé à Stuttgart, en Allemagne, avec plus de 14 ans d’expertise dans l’accompagnement vers l’Allemagne.</p><p></p><p>Présente également à Alger – Kouba, notre mission est de créer un"
"https://emploitic.com/entreprises/sarl-transco-mobile-algeria/offres-d-emploi/informatique-telecom-internet/editeur-videos-et-designer-graphique-pour-infinix-b4dde82ddc7205b9cd8f7089","https://recruiter.emploitic.com/api/v2/photo/logo/arn:local:oss:emploitic:2aeace62-ccd1-4efc-af7f-872469cae34a:logo:694280edf7611122294e29e2","Editeur Vidéos et Designer Graphique (Pour Infinix)","Transsion Algeria","Alger, Algérie","02 April","Confirmé / Expérimenté (1 À 2 Ans)","<h2><strong>Join a Global Force in Digital Innovation &amp; Creativity</strong></h2><p>At Transsion, we don’t just build products, we create brands that connect with millions of users worldwide. Through Infinix, we bring bold, trend-driven innovation to a young and fast-moving audience.</p><p>Today,"
"https://emploitic.com/entreprises/iris-studio/offres-d-emploi/services/merchandiser-itinerant-vehicule-2baa6edfa040e1c61ee56640","https://emploitic.com/images/logos/arn:eu-west-1:oss::0f389310a26a8a966c785e2e:logo:66298dbfb5d95b7345366423","Merchandiser Itinérant Véhiculé","Iris Studio","Télétravail","02 April","Débutant / Junior (Sans Expérience)","<p><br></p><p><strong>OFFRE D’EMPLOI – MERCHANDISER ITINÉRANT (Motorisé)</strong></p><p><br></p><p><strong>À propos de nous</strong><br>IRIS Studio est une agence de communication 360°, spécialisée dans le <strong>Trade Marketing</strong>, l’<strong>activation terrain</strong>, la <strong>promotion"
"https://emploitic.com/entreprises/canbebe/offres-d-emploi/industries/delegue-charge-de-linformation-8aa1db3ba728abcf1f17193e","https://recruiter.emploitic.com/api/v2/photo/logo/arn:local:oss:emploitic:f5690219-dba9-47e2-82a8-a798095f88ae:logo:699be745f761112229930a7e","Délégué chargé de l'information","CAN Hygiène","Daïra Zéralda, Alger, Algérie","02 April","Confirmé / Expérimenté (6 À 10 Ans)","<p>&nbsp;</p><ul><li><p>Prospecter et visiter les professionnels de la santé pour présenter nos produits et promouvoir leur utilisation.</p></li><li><p>Développer les relations avec les Leaders de la communauté pédiatrique sur son secteur.</p></li><li><p>Gérer le réseau des médecins de son secteur :"
"https://emploitic.com/entreprises/arina-shoes/offres-d-emploi/distribution-commerce/social-media-e-commerce-operations-manager-529380dcb39369c1138b28dd","https://emploitic.com/images/sectors/commerce.jpg","Social Media & E-commerce Operations Manager","ArinaShoes","Freha, Daïra Azazga, Tizi Ouzou, Algérie","01 April","Confirmé / Expérimenté (1 À 2 Ans)","<p>Nous recherchons un profil capable de <strong>gérer à la fois la croissance des réseaux sociaux et le suivi opérationnel des ventes</strong>.</p><p></p><p>🎯 Missions</p><p><strong>Partie Social Media :</strong></p><ul><li><p>Définir et exécuter une stratégie de croissance (Instagram, TikTok, Fac"
"https://emploitic.com/offres-d-emploi/industries/agent-marketing-eea2d079c4123da99aa9894f","https://emploitic.com/images/sectors/industries.jpg","AGENT MARKETING","Entreprise anonyme","Baba Hassen, Daïra Draria, Alger, Algérie","01 April","Débutant / Junior (1 À 2 Ans)","<p>  <br /><b>MISSIONS DU POSTE :</b></p><p></p><ul><li dir=""ltr"" aria-level=""1""><p dir=""ltr"" role=""presentation"">Assurer la coordination au sein du service marketing.</p></li><li dir=""ltr"" aria-level=""1""><p dir=""ltr"" role=""presentation"">Assister le responsable marketing dans les missions quotidienn"
"https://emploitic.com/entreprises/eduworld/offres-d-emploi/services/community-manager-content-creator-h-f-5e4de6e91cf68263ed4e8d51","https://emploitic.com/images/logos/arn:eu-west-1:oss::6b3b58081647976e53f56472:logo:6629ef46b5d95b734536a2a9","Community Manager / Content Creator (H/F)","Eduworld","Alger, Algérie","01 April","Confirmé / Expérimenté (3 À 5 Ans)","<p>  <br></p><p>Description du poste :</p><p>Dans le cadre du développement de notre présence digitale, Eduworld Algérie recrute un(e) Community Manager / Content Creator.</p><p>Missions :</p><ul><li>Gestion quotidienne des réseaux sociaux (Instagram, Facebook, TikTok)</li><li>Création de contenus d"
"https://emploitic.com/entreprises/eduworld/offres-d-emploi/services/commercial-e-ou-chargee-d-affaires-academiques-7c1fe183b683b77c6eb47e6c","https://emploitic.com/images/logos/arn:eu-west-1:oss::6b3b58081647976e53f56472:logo:6629ef46b5d95b734536a2a9","Commercial(e) ou chargée d'affaires académiques","Eduworld","Alger, Algérie","01 April","Confirmé / Expérimenté (3 À 5 Ans)","<p>  Description du poste :</p><p>EDUWORLD, agence spécialisée dans les études à l’étranger, recrute un(e) Commercial(e) pour renforcer son équipe.</p><p>Missions :</p><ul><li>Traitement des leads entrants</li><li>Conseil aux étudiants et parents</li><li>Vente des services (orientation, admission, v"
"https://emploitic.com/entreprises/talenteo-2/offres-d-emploi/services/growth-revenue-ops-marketing-44edd8df9de08424fbebba50","https://recruiter.emploitic.com/api/v2/photo/logo/arn:local:oss:emploitic:4f2e4bfd-25a6-488c-84dc-a600e44b1d16:logo:685815bbe26f70a8d85fae9c","Marketing Analyst - Growth & Revenue Ops","Talenteo","Draria, Daïra Draria, Alger, Algérie (Hybride)","01 April","Confirmé / Expérimenté (1 À 2 Ans)","<p><strong>Qui sommes- nous ?</strong><br><br>Talenteo est un logiciel RH &amp; Paie, nous aidons les entreprises à centraliser leurs processus RH, à automatiser la paie, et ainsi libérer du temps pour les équipes.<br><br>Présents en Algérie et en Tunisie , nous servons plus de 200 clients avec une"
